mceliece
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
h3atom,1,1330,101009790,885870,2555240990,256,233,75,256,2048
h3neo,1,1700,6680810,115658,417377645,256,233,75,256,2048
h4atom,1,1330,27219256,369280,1427164672,256,233,75,256,2048
h4e350,2,1600,9364254,161601,614246823,256,233,75,256,2048
h4mx515e,1,800,77906400,789041,7496828631,256,233,75,256,2048
h5nano,1,1000,8664930,152870,876499675,256,233,75,256,2048
h6dragon,2,1782,40533786,686109,3847254565,256,233,75,256,2048
h6sandy,2,2100,6154592,101956,312186516,256,233,75,256,2048
h7beagle,1,720,44069130,601570,2760386940,256,233,75,256,2048
h7green,1,1200,163771389373841408,2262167864737792,1114690334257840128,1099511627776,1099511627753,414344084883315,256,2048
h8atom,2,1866,26904185,367220,1319394062,256,233,75,256,2048
h8bobcat,2,1650,9376833,161817,566021691,256,233,75,256,2048
h9ivy,2,2500,5730260,95160,285842996,256,233,75,256,2048
h9trinity,2,2000,7737800,130031,360648534,256,233,75,256,2048
hydra2,4,2400,7702856,124200,409333060,256,233,75,256,2048
hydra3,6,3300,6663979,115657,357560244,256,233,75,256,2048
hydra6,4,3100,8198562,133057,528024956,256,233,75,256,2048
hydra7,4,3100,6139708,101272,292251668,256,233,75,256,2048
hydra8,4,3500,5736792,93760,277639872,256,233,75,256,2048
hydra9,2,3800,7689665,128530,375579438,256,233,75,256,2048
morningstar,4,3200,6641877,115595,518824920,256,233,75,256,2048
sachr,2,1700,26647648,376777,2210946359,256,233,75,256,2048
skylake,4,3310,3275004,69626,269161220,256,233,75,256,2048
titan0,4,3500,5136624,81928,316096676,256,233,75,256,2048
utrecht,4,2405,11583594,152073,611692227,256,233,75,256,2048
utrecht,4,2405,31039236,308754,1136730186,256,233,75,256,2048
wintermute,4,3400,5563884,132052,288115872,256,233,75,256,2048
ronald3072
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
bigmem,32,2266,26744301,221346,1408427438,384,361,75,384,3072
cryptologic,12,3325,29746948,270506,1533076882,384,361,75,384,3072
floodyberry,2,2500,23460138,238075,1285978525,384,361,75,384,3072
floodyberry,2,2500,234539075,1432887,10608466987,384,361,75,384,3072
flops,1,720,132136874,1155628,8504531066,384,361,75,384,3072
gcc14,8,2992,42908562,324594,2384449137,384,361,75,384,3072
gcc14,8,2992,83555181,605250,3982686840,384,361,75,384,3072
gcc16,8,2194,27181786,231805,2390201673,384,361,75,384,3072
h1mips,1,720,307635556,2234318,18739216260,384,361,75,384,3072
h2tegra,2,1000,112075177,1001299,10193021642,384,361,75,384,3072
h3atom,1,1330,345495290,1772180,16520195810,384,361,75,384,3072
h3neo,1,1700,18610546,199459,1190610101,384,361,75,384,3072
h4atom,1,1330,80969544,691928,5273583496,384,361,75,384,3072
h4e350,2,1600,25860597,270222,1966398168,384,361,75,384,3072
h4mx515e,1,800,201754969,1506883,21145263360,384,361,75,384,3072
h5nano,1,1000,24369025,269570,2252706655,384,361,75,384,3072
h6dragon,2,1782,119800127,1298340,8664519105,384,361,75,384,3072
h6sandy,2,2100,17185684,179980,974729684,384,361,75,384,3072
h7beagle,1,720,132133001,1156968,10035256889,384,361,75,384,3072
h7green,1,1200,486624476151152640,4222622866866176,248925438208901124,1649267441664,1649267441641,414344084883315,384,3072
h8atom,2,1866,80120180,680617,5135500279,384,361,75,384,3072
h8bobcat,2,1650,25923165,271800,1851959982,384,361,75,384,3072
h9ivy,2,2500,16005504,163260,938536308,384,361,75,384,3072
h9trinity,2,2000,22489833,218523,1348035713,384,361,75,384,3072
hydra2,4,2400,22534468,221936,1347833796,384,361,75,384,3072
hydra3,6,3300,18553731,201524,1248415334,384,361,75,384,3072
hydra6,4,3100,23556662,229673,1657050945,384,361,75,384,3072
hydra7,4,3100,17194520,179848,1383186868,384,361,75,384,3072
hydra8,4,3500,15984932,163892,995566596,384,361,75,384,3072
hydra9,2,3800,22430032,216872,1450180066,384,361,75,384,3072
morningstar,4,3200,18688517,198661,1370492556,384,361,75,384,3072
sachr,2,1700,79888238,697225,8570572798,384,361,75,384,3072
skylake,4,3310,8262168,118814,794832782,384,361,75,384,3072
titan0,4,3500,14181984,143924,850811144,384,361,75,384,3072
utrecht,4,2405,33309198,271314,2183624028,384,361,75,384,3072
utrecht,4,2405,82209528,597888,4516877016,384,361,75,384,3072
wintermute,4,3400,14915832,201000,1091068856,384,361,75,384,3072
ronald4096
Computer, Cores, MHz per,Cycles to decrypt 59 bytes,Cycles to encrypt 59 bytes,Cycles to generate a key pair,Encrypting 0 bytes,Encrypting 23 bytes,Encrypting many bytes,Public key,Secret key
bigmem,32,2266,59122603,350956,4828636143,512,489,75,512,4096
cryptologic,12,3325,65414033,419500,4966170191,512,489,75,512,4096
floodyberry,2,2500,50797250,375862,3545147125,512,489,75,512,4096
floodyberry,2,2500,526173788,2278350,25455749350,512,489,75,512,4096
flops,1,720,296921979,1909354,28554819996,512,489,75,512,4096
gcc14,8,2992,84837195,481923,6739634556,512,489,75,512,4096
gcc14,8,2992,180987255,921312,8642959587,512,489,75,512,4096
gcc16,8,2194,58553175,360070,5367624139,512,489,75,512,4096
h2tegra,2,1000,251656209,1636417,24685249327,512,489,75,512,4096
h3atom,1,1330,770960290,2990030,52659034990,512,489,75,512,4096
h3neo,1,1700,39717376,310019,3770298070,512,489,75,512,4096
h4atom,1,1330,179770656,1133352,13505360192,512,489,75,512,4096
h4e350,2,1600,55491531,413367,5097172653,512,489,75,512,4096
h4mx515e,1,800,480479063,2367056,50827050652,512,489,75,512,4096
h5nano,1,1000,51613795,420880,6115323920,512,489,75,512,4096
h6dragon,2,1782,267136920,2126330,27700190933,512,489,75,512,4096
h6sandy,2,2100,36927828,284884,2975465168,512,489,75,512,4096
h7beagle,1,720,296867105,1909352,23701714971,512,489,75,512,4096
h7green,1,1200,1089432172755943424,6834585753092096,312164433595990024,2199023255552,2199023255529,414344084883315,512,4096
h8atom,2,1866,178205804,1117340,10004267301,512,489,75,512,4096
h8bobcat,2,1650,55427505,412512,4721448162,512,489,75,512,4096
h9ivy,2,2500,34300904,257152,2802895072,512,489,75,512,4096
h9trinity,2,2000,49015946,343551,3571694353,512,489,75,512,4096
hydra2,4,2400,49345284,355412,3312541360,512,489,75,512,4096
hydra3,6,3300,39570100,309227,3403460313,512,489,75,512,4096
hydra6,4,3100,50892056,359483,3298968100,512,489,75,512,4096
hydra7,4,3100,36964128,284260,2850712268,512,489,75,512,4096
hydra8,4,3500,34313200,256544,2567717520,512,489,75,512,4096
hydra9,2,3800,49014261,341792,4162314674,512,489,75,512,4096
morningstar,4,3200,39566518,311195,3263168139,512,489,75,512,4096
sachr,2,1700,181327140,1118318,18484484148,512,489,75,512,4096
skylake,4,3310,17144800,178568,1524094744,512,489,75,512,4096
titan0,4,3500,30391120,227792,2551525868,512,489,75,512,4096
utrecht,4,2405,73252980,433503,5046067305,512,489,75,512,4096
utrecht,4,2405,179242596,912312,12162151593,512,489,75,512,4096
wintermute,4,3400,31753908,293212,2646806816,512,489,75,512,4096
